Commodity,Number of trades,Traded items,Value of trades,https://www.adam4eve.eu/tradeVol_type.php
PLEX,3.828,1.341.157,4.581.431.498.593,L
Kerr Sequencer,537,1.900.391,2.761.780.198.069,L
Large Skill Injector,1.827,4.502,2.551.199.296.913,L
Skill Extractor,705,3.174,1.037.626.329.141,L
Babaroga,49,49,601.211.662.215,L
Fermionic Sequencer,527,1.295.853,560.726.133.735,L
Triglavian Survey Database,3.694,3.608.847,282.763.307.400,L
Marshal,18,19,275.483.008.634,L
Sleeper Drone AI Nexus,612,53.072,255.226.288.951,L
Keepstar,1,1,249.900.007.424,L
Alignment Sequencer,517,1.868.765,199.766.952.634,L
23rd Tier Overseer's Personal Effects,178,1.883,189.649.602.226,L
Erebus Blueprint,2,2,145.000.005.632,L
Ancient Coordinates Database,739,115.113,143.528.917.035,L
Paladin,82,86,128.372.493.699,L
Orca,61,61,119.686.370.449,L
Isogen,3.023,375.956.099,119.128.636.774,L
Golem,72,75,109.820.397.575,L
10M Bounty SCC Encrypted Bond,111,4.775,109.284.075.860,L
Small Skill Injector,447,594,104.859.433.265,L
Sleeper Data Library,935,251.182,101.599.972.658,L
Vargur,78,81,99.807.383.200,L
Cormack's Modified Multispectrum Energized Membrane,2,2,94.069.997.568,L
Morphite,1.072,4.222.354,92.649.630.050,L
Rogue Drone Infestation Data,1.493,2.002.069,91.551.964.099,L
Tetrimonic Warclone Blanks,22,7.946,90.644.231.808,L
Amarr Titan,15,15,89.260.960.839,L
'Prometheus' Fortizar,1,1,82.989.998.080,L
Charon,38,38,80.196.802.644,L
ORE Strip Miner,170,480,75.993.748.532,L
Miasmos Quafe Ultramarine Edition,1,1,73.989.996.544,L
Gila,286,322,73.096.677.815,L
Pithum A-Type Multispectrum Shield Hardener,65,73,72.685.437.332,L
Rorqual,13,13,71.636.937.015,L
Nomad,8,8,71.539.839.659,L
Kronos,58,62,70.982.513.604,L
Standup XL-Set Structure and Component Manufacturing Efficiency I,1,1,69.976.666.112,L
Ishtar,290,371,68.829.932.881,L
Pithum C-Type Multispectrum Shield Hardener,224,267,67.462.225.339,L
Mexallon,3.821,1.253.752.184,66.730.044.418,L
Gallente Titan,11,11,66.473.953.153,L
Paladin Imperial Police SKIN,17,17,65.518.688.352,L
Warclone Blanks,12,3.983,65.284.493.473,L
Redeemer,61,66,64.432.404.719,L
19th Tier Overseer's Personal Effects,160,1.529,62.503.360.857,L
Anshar,7,7,62.433.809.399,L
Ark,9,9,62.357.313.254,L
Zohar's Modified Signature Radius Suppressor,1,1,62.080.000.000,L
Avalanche,21,21,60.289.394.048,L
Panther Republic Police SKIN,22,23,59.851.604.576,L
Leshak,89,102,59.220.879.992,L
ORE Deep Core Strip Miner,31,99,58.317.050.048,L
Zydrine,1.987,40.474.947,57.332.455.557,L
Pyerite,4.699,5.633.011.743,57.266.374.400,L
Looking Glass Monocle Interface (right/gold),1,1,57.169.999.189,L
Overseer Sabik Vial,31,4.554,57.022.817.616,L
Guristas NET Resonator,93,15.011,56.144.433.840,L
Gist X-Type X-Large Shield Booster,37,39,56.039.849.547,L
Megacyte,1.868,19.148.768,55.253.153.940,L
Praxis,231,272,54.738.133.286,L
Men's Triglavian Survival Suit (Proving Grounds),1,1,52.589.998.080,L
Nocxium,2.287,75.760.809,51.858.359.811,L
Caldari Titan,8,9,50.723.269.979,L
Helium Isotopes,697,128.889.522,50.655.300.290,L
Intact Armor Plates,575,13.258,49.897.242.159,L
Fortizar,5,5,49.651.535.197,L
Tholos,34,38,48.997.139.475,L
Thunderchild,37,43,48.649.803.245,L
Ahremen's Modified Mega Pulse Laser,1,2,47.996.667.392,L
Pith X-Type X-Large Shield Booster,78,85,47.871.706.922,L
Draclira's Modified Power Diagnostic System,3,3,47.450.001.408,L
Enhanced Neurolink Protection Cell,2,2,47.315.799.122,L
Providence,22,23,46.799.242.846,L
Genolution 'Auroral' AU-79,1,1,46.518.775.846,L
Rattlesnake,45,46,46.310.734.335,L
Neural Network Analyzer,987,307.670,45.005.163.531,L
Barghest,34,39,44.528.944.837,L
Hulk,156,236,44.315.306.348,L
Lancer Dreadnoughts,17,18,44.104.670.460,L
Oxygen Isotopes,445,88.829.132,43.957.098.068,L
Tatara Upwell Quantum Core,12,12,43.885.865.897,L
